trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.975, 'e': 0.027457148286301688}",20,16,8.347980077975636,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.975, 'e': 0.026770719579144144}",25,9,28.66569331058659,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.975, 'e': 0.02610145158966554}",20,7,21.2908734491429,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.975, 'e': 0.0254489152999239}",25,0,36.60087952666991,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.975, 'e': 0.024812692417425803}",20,8,22.75667623056005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.975, 'e': 0.02419237510699016}",20,2,-7.359280574826613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.975, 'e': 0.023587565729315405}",25,0,38.09834715560507,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.975, 'e': 0.02299787658608252}",25,17,15.66147295968442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.975, 'e': 0.022422929671430458}",20,13,12.841303854705961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.975, 'e': 0.021862356429644694}",20,6,-20.420406740661544,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.975, 'e': 0.021315797518903577}",20,13,16.041685528270555,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.975, 'e': 0.020782902580930986}",30,0,-3.268096586030553,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.975, 'e': 0.02026333001640771}",25,11,27.596706242823778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.975, 'e': 0.019756746765997518}",20,8,18.90264351082031,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.975, 'e': 0.019262828096847578}",20,12,18.233765412218812,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.975, 'e': 0.018781257394426387}",25,14,18.98074216771778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.975, 'e': 0.018311725959565726}",20,12,17.56916843459088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.975, 'e': 0.017853932810576584}",20,16,4.524428221882298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.975, 'e': 0.01740758449031217}",25,11,23.23832182981413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.975, 'e': 0.016972394878054364}",30,19,21.819263523247642,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.975, 'e': 0.016548085006103004}",25,11,27.046023872528693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.975, 'e': 0.01613438288095043}",25,13,19.734313700099765,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.975, 'e': 0.01573102330892667}",20,15,9.085535162698068,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.975, 'e': 0.015337747726203502}",25,14,20.434706819685513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.975, 'e': 0.014954304033048415}",30,0,44.260656090375505,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.975, 'e': 0.014580446432222205}",25,16,15.78092729723226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.975, 'e': 0.014215935271416649}",25,15,19.649948898623467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.975, 'e': 0.013860536889631231}",25,9,29.91290699791155,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.975, 'e': 0.01351402346739045}",25,0,36.66731044164568,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.975, 'e': 0.013176172880705687}",25,18,15.570261878218195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.975, 'e': 0.012846768558688045}",25,17,11.476110467028267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.975, 'e': 0.012525599344720844}",30,20,18.67963574536192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.975, 'e': 0.012212459361102823}",20,9,25.137787653786987,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.975, 'e': 0.011907147877075253}",20,12,15.475285137321306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.975, 'e': 0.011609469180148371}",35,21,30.49601680188321,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.975, 'e': 0.01131923245064466}",20,3,22.30054323902312,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.975, 'e': 0.011036251639378544}",35,3,52.06176633231399,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.975, 'e': 0.01076034534839408}",25,10,24.051808614941688,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.975, 'e': 0.010491336714684227}",20,8,-0.7991005720166819,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.975, 'e': 0.010229053296817121}",20,8,19.258102270716567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.975, 'e': 0.009973326964396694}",20,3,31.02463485026762,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.975, 'e': 0.009723993790286775}",25,17,13.88788589784535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.975, 'e': 0.009480893945529607}",20,7,15.043940459949583,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.975, 'e': 0.009243871596891367}",30,16,25.228968288626792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.975, 'e': 0.009012774806969083}",20,7,22.773117598889428,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.975, 'e': 0.008787455436794855}",20,13,12.27250747538625,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.975, 'e': 0.008567769050874984}",20,10,6.9194978821380815,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.975, 'e': 0.008353574824603109}",20,7,22.86234770338926,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.975, 'e': 0.008144735453988031}",25,19,11.11373938983395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.975, 'e': 0.00794111706763833}",25,8,31.527229279941174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.975, 'e': 0.007742589140947371}",25,3,46.19111397311058,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.975, 'e': 0.007549024412423687}",25,13,18.77077113995336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.975, 'e': 0.007360298802113094}",20,13,13.404684299791159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.975, 'e': 0.007176291332060267}",20,0,30.68787825986905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.975, 'e': 0.00699688404875876}",35,22,23.198898032278965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
